"Entry","Positive","Strong","Active","Role","Negative","Weak","Passive","Object"
"ADEN",,,,,,,,
"ADEPT","Positiv","Strong",,,,,,
"ADEPTNESS","Positiv","Strong",,,,,,
"ADEQUATE","Positiv",,,,,,,
"ADHERE",,,,,,,"Passive",
"ADHERENCE","Positiv",,,,,,,
"ADHERENT","Positiv",,,,,,,
"ADHESION","Positiv",,,,,,,
"ADHESIVE","Positiv",,,,,,,
"ADJACENT",,,,,,,,
"ADJOIN",,,,,,,,
"ADJOURNMENT",,,,,,,"Passive",
"ADJUDICATION",,,,,,,,
"ADJUNCT","Positiv",,,,,,,
"ADJUST#1",,"Strong",,,,,,
"ADJUST#2","Positiv",,,,,,,
"ADJUSTABLE","Positiv",,,,,,,
"ADJUSTMENT","Positiv",,,,,,"Passive",
"ADMINISTER",,"Strong","Active",,,,,
"ADMINISTRATION#1",,"Strong",,,,,,
"ADMINISTRATION#2",,"Strong","Active",,,,,
"ADMINISTRATIVE",,"Strong","Active",,,,,
"ADMINISTRATOR",,"Strong",,"Role",,,,
"ADMIRABLE","Positiv",,,,,,,
"ADMIRAL#1",,,,,,,,
"ADMIRAL#2",,,,,,,,
"ADMIRATION","Positiv","Strong",,,,,,
"ADMIRE","Positiv",,,,,,"Passive",
"ADMIRER","Positiv","Strong",,,,,,
"ADMISSIBLE",,,,,,,"Passive",
"ADMISSION",,,,,,,"Passive",
"ADMIT#1","Positiv",,,,,"Weak","Passive",
"ADMIT#2","Positiv",,,,,,"Passive",
"ADMIT#3","Positiv",,,,,"Weak","Passive",
"ADMITTANCE","Positiv",,"Active",,,,,
"ADMONISH",,"Strong","Active",,"Negativ",,,
"ADMONITION",,,"Active",,"Negativ",,,
"ADOLESCENT",,,,,,,,
"ADOPT#1",,,,,,,"Passive",
"ADOPT#2",,,"Active",,,,,
"ADOPTION",,,,,,,,
"ADORABLE","Positiv",,,,,,,
"ADORE","Positiv",,"Active",,,,,
"ADORN","Positiv","Strong","Active",,,,,
"ADORNMENT","Positiv",,,,,,,
"ADROIT","Positiv","Strong",,,,,,
"ADROITLY","Positiv","Strong",,,,,,
"ADULATION","Positiv","Strong",,,,,,
"ADULT#1",,"Strong",,"Role",,,,
"ADULT#2","Positiv","Strong",,,,,,
"ADULTERATE",,,,,"Negativ",,,
"ADULTERATION",,,,,"Negativ",,,
"ADULTERY",,,,,"Negativ",,,
"ADVANCE#1","Positiv","Strong","Active",,,,,
"ADVANCE#2","Positiv","Strong","Active",,,,,
"ADVANCE#3","Positiv",,,,,,"Passive",
"ADVANCE#4",,,,,,,,
"ADVANCEMENT","Positiv",,,,,,,
"ADVANTAGE","Positiv","Strong",,,,,,
"ADVANTAGEOUS","Positiv","Strong",,,,,,
"ADVENT","Positiv",,,,,,,
"ADVENTURE",,,"Active",,,,,
"ADVENTURESOME","Positiv","Strong","Active",,,,,
"ADVENTUROUS","Positiv","Strong","Active",,,,,
"ADVERSARY",,,,"Role","Negativ",,,
"ADVERSE",,,,,"Negativ",,,
"ADVERSITY",,,,,"Negativ",,,
"ADVICE",,,,,,,,
"ADVISABLE","Positiv",,,,,,,
"ADVISE",,,,,,,,
"ADVISER",,,,"Role",,,,
"ADVISOR",,,,"Role",,,,
"ADVISORY",,,,,,,,
"ADVOCACY","Positiv",,,,,,,
"ADVOCATE#1",,"Strong","Active","Role",,,,
"ADVOCATE#2",,"Strong","Active",,,,,
"AESTHETIC",,,,,,,,
"AFFABILITY","Positiv",,,,,,,
"AFFABLE","Positiv",,,,,,,
"AFFAIR#1",,,"Active",,,,,
"AFFAIR#2",,,,,,,,
"AFFAIR#3",,,,,,,,
"AFFECT",,,"Active",,,,,
"AFFECTATION",,,,,"Negativ",,,
"AFFECTION","Positiv",,,,,,,
"AFFECTIONATE","Positiv",,,,,,,
"AFFILIATE","Positiv",,"Active",,,,,
"AFFILIATION","Positiv",,,,,,,
"AFFINITY","Positiv","Strong",,,,,,
"AFFIRM","Positiv","Strong",,,,,,
"AFFIRMANCE",,,,,,,,
"AFFIRMATION","Positiv",,,,,,,
"AFFIRMATIVE","Positiv",,,,,,,
"AFFIX","Positiv",,"Active",,,,,
"AFFLICT",,"Strong","Active",,"Negativ",,,
"AFFLICTION",,,,,"Negativ","Weak","Passive",
"AFFLUENCE","Positiv",,,,,,,
"AFFLUENT","Positiv",,,,,,,
"AFFORD#1",,"Strong",,,,,,
"AFFORD#2",,"Strong",,,,,,
"AFGHANISTAN",,,,,,,,
"AFLOAT","Positiv","Strong",,,,,,
"AFRAID#1",,,,,,,"Passive",
"AFRAID#2",,,,,"Negativ","Weak",,
"AFRICA",,,,,,,,
"AFRICAN",,,,,,,,
"AFTER#1",,,,,,,,
"AFTER#2",,,,,,,,
"AFTER#3",,,,,,,,
"AFTERNOON",,,,,,,,
"AFTERWARD",,,,,,,,
"AGAIN#1",,,,,,,,
"AGAIN#2",,,,,,,,
"AGAIN#3",,,,,,,,
"AGAINST",,,,,"Negativ",,,
"AGE#1",,,,,,,,
"AGE#2",,,,"Role",,,,
"AGE#3",,,,,,,,
"AGE#4",,,,,,,,
"AGENCY",,,,,,,,
"AGENT",,,,"Role",,,,
"AGGRAVATE",,"Strong","Active",,"Negativ",,,
"AGGRAVATION",,"Strong","Active",,"Negativ",,,
"AGGREGATE","Positiv",,,,,,,
"AGGREGATION","Positiv",,,,,,,
"AGGRESSION",,"Strong","Active",,"Negativ",,,
"AGGRESSIVE",,"Strong","Active",,"Negativ",,,
"AGGRESSIVENESS",,"Strong","Active",,"Negativ",,,
"AGGRESSOR",,,,,"Negativ",,,
"AGGRIEVE",,,"Active",,"Negativ",,,
"AGHAST",,,,,"Negativ",,,
"AGILE","Positiv","Strong",,,,,,
"AGILITY","Positiv","Strong",,,,,,
"AGITATE",,"Strong","Active",,"Negativ",,,
"AGITATION",,"Strong","Active",,"Negativ",,,
"AGITATOR",,,,,"Negativ",,,
"AGO",,,,,,,,
"AGONIZE",,,,,"Negativ",,"Passive",
"AGONY",,,,,"Negativ",,,
"AGRARIAN",,,,,,,,
"AGREE#1",,,,,,,,
"AGREE#2",,,,,,,"Passive",
"AGREEABLE","Positiv",,,,,,,
"AGREEMENT","Positiv","Strong",,,,,,
"AGRICULTURAL",,,,,,,,
"AGRICULTURE",,,,,,,,
"AHEAD",,,,,,,,
"AID#1","Positiv","Strong","Active",,,,,
"AID#2","Positiv",,"Active",,,,,
"AID#3",,,,,,,,
"AIDE",,,,"Role",,,,
"AIL",,,,,"Negativ",,"Passive",
"AILMENT",,,,,"Negativ",,,
"AIM#1",,,"Active",,,,,
"AIM#2",,,"Active",,,,,
"AIMLESS",,,,,"Negativ",,"Passive",
"AIN'T",,,,,,,,
"AIR#1",,,,,,,,
"AIR#2",,,,,,,,
"AIR#3",,,,,,,,
"AIR#4",,"Strong",,,,,,
"AIR#5",,,,,,,,"Object"
"AIR#6",,,,,,,,
"AIR#7",,,,,,,,
"AIRCRAFT",,,,,,,,"Object"
"AIRPLANE",,,,,,,,"Object"
"AIRPORT",,,,,,,,
"AKIN",,,,,,,,
"ALABAMA",,,,,,,,
"ALARM#1",,,"Active",,,,,
"ALARM#2",,,"Active",,"Negativ",,,
"ALARMING",,,,,"Negativ",,,
"ALAS",,,,,"Negativ",,,
"ALASKA",,,,,,,,
"ALBANIA",,,,,,,,
"ALBUM",,,,,,,,"Object"
"ALCOHOLIC",,,,"Role",,,,
"ALERT",,"Strong","Active",,,,,
"ALERTNESS","Positiv",,,,,,,
"ALGERIA",,,,,,,,
"ALGIERS",,,,,,,,
"ALIBI",,,,,"Negativ","Weak","Passive",
"ALIEN",,,,"Role","Negativ",,,
"ALIENATE",,,,,"Negativ",,,
"ALIENATION",,,,,"Negativ",,,
"ALIGHT","Positiv",,,,,,,
"ALIGN#1",,,,,,,,
"ALIGN#2",,,,,,,,
"ALIKE",,,,,,,,
"ALIVE","Positiv","Strong","Active",,,,,
"ALL#1",,,,,,,,
"ALL#10",,,,,,,,
"ALL#11",,,,,,,,
"ALL#12",,,,,,,,
"ALL#13",,,,,,,,
"ALL#2",,,,,,,,
"ALL#3",,,,,,,,
"ALL#4",,,,,,,,
"ALL#5",,,,,,,,
"ALL#6",,,,,,,,
"ALL#7",,,,,,,,
"ALL#8",,,,,,,,
"ALL#9",,,,,,,,
"ALL#_10",,,,,,,,
"ALL#_11",,,,,,,,
"ALL#_12",,,,,,,,
"ALL#_13",,,,,,,,
"ALLEDGE",,,,,,,,
"ALLEGATION",,,,,"Negativ",,,
"ALLEGE",,,,,"Negativ","Weak",,
"ALLEGIANCE","Positiv",,,,,,,
"ALLEVIATE","Positiv",,"Active",,,,,
"ALLIANCE","Positiv","Strong",,,,,,
"ALLIED","Positiv","Strong",,,,,,
"ALLIES","Positiv",,,"Role",,,,
"ALLOCATION",,,,,,,,
"ALLOT",,,,,,,,
"ALLOTMENT",,,,,,,,
"ALLOW#1","Positiv",,,,,,"Passive",
"ALLOW#2",,,,,,,,
"ALLOWABLE","Positiv",,,,,,,
"ALLOWANCE","Positiv",,,,,,,
"ALLURE","Positiv",,,,,,,
"ALLUSION",,,,,,,,
"ALLY#1","Positiv","Strong",,"Role",,,,
"ALLY#2",,,,,,,,
"ALMIGHTY","Positiv","Strong",,,,,,
"ALMOST",,,,,,,,
"ALONE#1",,,,,,"Weak",,
"ALONE#2",,,,,,,,
"ALONE#3",,,,,,,,
"ALONG#1",,,,,,,,
"ALONG#2",,,,,,,,
"ALONG#3",,,,,,,,
"ALONG#4",,,,,,,,
"ALONGSIDE",,,,,,,,
"ALOOF",,,,,"Negativ",,"Passive",
"ALOUD",,,,,,,,
"ALREADY",,,,,,,,
"ALRIGHT",,,,,,,,
"ALSO",,,,,,,,
"ALTER",,"Strong","Active",,,,,
"ALTERATION",,,,,,,,
"ALTERCATION",,,,,"Negativ",,,
"ALTERNATE#1",,,,,,,,
"ALTERNATE#2",,,"Active",,,,,
"ALTERNATIVE",,,,,,,,
"ALTHOUGH",,,,,,,,
"ALTOGETHER",,,,,,,,
"ALTRUISTIC","Positiv",,,,,,,
"ALUMINIUM#1",,,,,,,,
"ALUMINUM",,,,,,,,"Object"
"ALWAYS",,,,,,,,
"AM#1",,,,,,,,
"AM#2",,,,,,,,
"AM#3",,,,,,,,
"AMATEUR",,,,"Role",,"Weak",,
"AMAZE#1",,,,,,,,
"AMAZE#2",,,,,,,,
"AMAZEMENT","Positiv","Strong",,,,,,
"AMAZING","Positiv","Strong",,,,,,
"AMBASSADOR",,,,"Role",,,,
"AMBIGUITY",,,,,"Negativ",,,
"AMBIGUOUS",,,,,"Negativ",,,
"AMBITION",,"Strong",,,,,,
"AMBITIOUS",,"Strong","Active",,,,,
"AMBIVALENT",,,,,"Negativ","Weak",,
"AMBULANCE",,,,,,,,
"AMBUSH#1",,"Strong","Active",,"Negativ",,,
"AMBUSH#2",,"Strong","Active",,"Negativ",,,
"AMELIORATE","Positiv",,"Active",,,,,
"AMELIORATION",,,,,,,,
"AMEN",,,,,,,,
"AMENABLE","Positiv",,,,,,,
"AMEND#1",,,,,,,,
"AMEND#2",,,"Active",,,,,
"AMENDMENT",,,,,,,,
"AMENITY","Positiv",,,,,,,"Object"
"AMERICA",,,,,,,,
"AMERICAN",,,,,,,,
"AMIABILITY","Positiv",,,,,,,
"AMIABLE","Positiv",,,,,,,
"AMICABLE","Positiv",,,,,,,
"AMID",,,,,,,,
"AMIDST",,,,,,,,
"AMISS",,,,,"Negativ",,,
"AMMUNITION",,,,,,,,"Object"
"AMNESTY","Positiv",,,,,,,
"AMONG",,,,,,,,
"AMOUNT#1",,,,,,,,
"AMOUNT#2",,,,,,,,
"AMOUR","Positiv",,,,,,,
"AMPLE","Positiv","Strong",,,,,,
"AMPLIFY","Positiv","Strong","Active",,,,,
"AMPLY","Positiv","Strong",,,,,,
"AMPUTATE",,,"Active",,"Negativ",,,
"AMUSE","Positiv",,"Active",,,,,
"AMUSEMENT","Positiv",,,,,,,
"AN",,,,,,,,
"ANALOGOUS",,,,,,,,
"ANALOGY",,,,,,,,
"ANALYSE#1",,,,,,,,
"ANALYSIS",,,"Active",,,,,
"ANALYST",,,,,,,,
"ANALYTIC",,,"Active",,,,,
"ANALYTICAL",,,"Active",,,,,
"ANALYZE",,,"Active",,,,,
"ANARCHIST",,,,,"Negativ",,,
"ANARCHY",,,,,"Negativ",,,
"ANCESTOR",,,,"Role",,,,
"ANCHOR#1",,,,,,,,"Object"
"ANCHOR#2",,"Strong",,,,,,
"ANCIENT",,,,,,"Weak",,
"AND",,,,,,,,
"ANECDOTE",,,,,,,,
"ANEW",,,,,,,,
"ANGEL","Positiv",,,"Role",,,,
"ANGELIC","Positiv",,,,,,,
"ANGER#1",,,"Active",,"Negativ",,,
"ANGER#2",,,,,"Negativ",,,
"ANGLE",,,,,,,,
"ANGOLA",,,,,,,,
"ANGRY",,,"Active",,"Negativ",,,
"ANGUISH",,,,,"Negativ",,"Passive",
"ANIMAL",,,,,,,,
"ANIMATE",,,,,,,,
"ANIMATION",,,"Active",,,,,
"ANIMOSITY",,,,,"Negativ",,,
"ANKLE",,,,,,,,
"ANNALS",,,,,,,,
"ANNIHILATE",,,"Active",,"Negativ",,,
"ANNIHILATION",,,,,"Negativ",,,
"ANNIVERSARY",,,,,,,,
"ANNOUNCE#1",,,,,,,,
"ANNOUNCE#2",,,,,,,,
"ANNOUNCEMENT",,,,,,,,
"ANNOY",,,"Active",,"Negativ",,,
"ANNOYANCE",,,,,"Negativ",,,
"ANNUAL",,,,,,,,
"ANNUITY",,,,,,,,
"ANOINT","Positiv",,"Active",,,,,
"ANOMALOUS",,,,,"Negativ",,,
"ANOMALY",,,,,"Negativ",,,
"ANONYMOUS",,,,,,,,
"ANOTHER#1",,,,,,,,
"ANOTHER#2",,,,,,,,
"ANOTHER#3",,,,,,,,
"ANSWER#1",,,"Active",,,,,
"ANSWER#2",,,"Active",,,,,
"ANSWERABLE",,,,,,,,
"ANT",,,,,,,,
"ANTAGONISE#1",,,,,,,,
"ANTAGONISM",,"Strong","Active",,"Negativ",,,
"ANTAGONIST",,,,,"Negativ",,,
"ANTAGONISTIC",,"Strong","Active",,"Negativ",,,
"ANTAGONIZE",,"Strong","Active",,"Negativ",,,
"ANTARCTICA",,,,,,,,
"ANTI-SOCIAL",,,,,"Negativ",,,
"ANTI-TRUST",,,,,,,,
"ANTICIPATE",,,,,,,"Passive",
"ANTICIPATION",,,,,,,"Passive",
"ANTIPATHY",,,,,"Negativ",,,
"ANTIQUATED",,,,,"Negativ","Weak",,
"ANTITRUST",,,,,"Negativ",,,
"ANXIETY",,,,,"Negativ","Weak","Passive",
"ANXIOUS#1",,,,,,,,
"ANXIOUS#2",,,,,"Negativ","Weak","Passive",
"ANXIOUS#3",,,,,"Negativ","Weak","Passive",
"ANXIOUSNESS",,,,,"Negativ","Weak","Passive",
"ANY#1",,,,,,,,
"ANY#2",,,,,,,,
"ANY#3",,,,,,,,
"ANY#4",,,,,,,,
"ANY#5",,,,,,,,
"ANYBODY",,,,,,,,
"ANYHOW",,,,,,,,
"ANYMORE",,,,,,,,
"ANYONE",,,,,,,,
"ANYTHING",,,,,,,,
"ANYWAY",,,,,,,,
"ANYWHERE",,,,,,,,
"APART#1",,,,,,"Weak",,
"APART#2",,,,,,,,
"APART#3",,,,,,,,
"APARTMENT",,,,,,,,"Object"
"APATHETIC",,,,,"Negativ","Weak","Passive",
"APATHY",,,,,"Negativ","Weak","Passive",
"APOCALYPSE","Positiv",,,,,,,
"APOLOGETIC",,,,,,"Weak",,
"APOLOGIZE",,,,,,"Weak",,
"APOLOGY",,,,,,"Weak",,
"APPALL#1",,,,,"Negativ",,,
"APPALL#2",,,,,"Negativ",,,
"APPARATUS",,,,,,,,"Object"
"APPARENT#1",,,,,,,,
"APPARENT#2",,,,,,,,
"APPEAL#1",,,,,,,"Passive",
"APPEAL#2",,,,,,,"Passive",
"APPEAL#3","Positiv",,,,,,"Passive",
"APPEAR#1",,,,,,,"Passive",
"APPEAR#2",,,,,,,"Passive",
"APPEARANCE",,,,,,,"Passive",
"APPEASE","Positiv",,"Active",,,,,
"APPEASEMENT",,,,,,,,
"APPEND","Positiv",,"Active",,,,,
"APPERTAIN",,,,,,,,
"APPETITE",,,,,,,,
"APPLAUD","Positiv",,"Active",,,,,
"APPLAUSE","Positiv",,,,,,,
"APPLICABLE",,,,,,,,
"APPLICANT",,,,"Role",,,,
"APPLICATION",,,,,,,,
"APPLY#1",,,"Active",,,,,
"APPLY#2",,,"Active",,,,,
"APPLY#3",,,"Active",,,,,
"APPLY#4",,,,,,,,
"APPOINT#1","Positiv",,"Active",,,,,
"APPOINT#2","Positiv",,"Active",,,,,
"APPOINTMENT",,,"Active",,,,,
"APPRAISAL",,,,,,,,
"APPRAISE",,,,,,,,
"APPRECIABLE","Positiv","Strong",,,,,,
"APPRECIATE","Positiv",,,,,,"Passive",
"APPRECIATION","Positiv",,,,,,"Passive",
"APPRECIATIVE","Positiv",,,,,,,
"APPREHEND","Positiv",,"Active",,,,,
"APPREHENSION",,"Strong","Active",,"Negativ",,,
"APPREHENSIVE",,,,,"Negativ","Weak","Passive",
"APPROACH#1","Positiv",,"Active",,,,,
"APPROACH#2","Positiv",,"Active",,,,"Passive",
"APPROPRIATE#1","Positiv",,,,,,,
"APPROPRIATE#2",,"Strong",,,,,,
"APPROPRIATION",,,,,,,,
"APPROVAL","Positiv",,,,,,,
"APPROVE#1","Positiv",,,,,,,
"APPROVE#2","Positiv","Strong",,,,,,
"APPROXIMATE",,,,,,,,
"APPROXIMATELY",,,,,,,,
"APRIL",,,,,,,,
"APT","Positiv","Strong",,,,,,
"APTITUDE","Positiv","Strong",,,,,,
"ARAB",,,,,,,,
"ARABIA",,,,,,,,
"ARBITER","Positiv",,,"Role",,,,
"ARBITRARY",,,,,"Negativ",,,
"ARBITRATE","Positiv",,"Active",,,,,
"ARBITRATION","Positiv",,,,,,,
"ARBITRATOR",,,,,,,,
"ARCH#1",,,,,,,,"Object"
"ARCH#2",,,,,,,,
"ARCHITECT",,,,"Role",,,,
"ARCHITECTURE",,,,,,,,
"ARDENT","Positiv","Strong",,,,,,
"ARDOUR",,,,,,,,
"ARDUOUS",,,,,"Negativ",,,
"ARE#1",,,,,,,,
"ARE#2",,,,,,,,
"ARE#3",,,,,,,,
"ARE#4",,,,,,,,
"AREA",,,,,,,,
"ARENA",,,,,,,,
"ARGENTINE",,,,,,,,
"ARGUE#1",,,"Active",,"Negativ",,,
"ARGUE#2",,,"Active",,,,,
"ARGUMENT#1",,,"Active",,"Negativ",,,
"ARGUMENT#2",,,"Active",,,,,
"ARID",,,,,,,,
"ARISE",,"Strong","Active",,,,,
"ARISEN","Positiv",,,,,,,
"ARISTOCRACY","Positiv",,,"Role",,,,
"ARISTOCRAT","Positiv",,,"Role",,,,
"ARISTOCRATIC","Positiv",,,,,,,
"ARIZONA",,,,,,,,
"ARKANSAS",,,,,,,,
"ARM#1",,,,,,,,
"ARM#2",,"Strong",,,,,,"Object"
"ARM#3",,"Strong","Active",,,,,
"ARMAMENT",,,,,,,,
"ARMED#1",,"Strong",,,,,,"Object"
"ARMED#2",,"Strong","Active",,,,,
"ARMISTICE",,,,,,,,
"ARMY",,"Strong",,,,,,
"AROSE",,"Strong","Active",,,,,
"AROUND",,,,,,,,
"AROUSE#1",,,,,,,,
"ARRANGE#1",,,"Active",,,,,
"ARRANGE#2",,,,,,,,
"ARRANGEMENT",,,"Active",,,,,
"ARREST#1",,"Strong","Active",,"Negativ",,,
"ARREST#2",,"Strong","Active",,"Negativ",,,
"ARREST#3","Positiv",,,,,,,
"ARRIVAL",,,"Active",,,,,
"ARRIVE",,,"Active",,,,,
"ARROGANCE",,,,,"Negativ",,,
"ARROGANT",,"Strong",,,"Negativ",,,
"ARROW",,,,,,,,"Object"
"ARSENAL",,,,,,,,
"ART#1","Positiv",,,,,,,"Object"
"ART#2",,,,,,,,
"ART#3",,,,,,,,
"ART#4","Positiv",,,,,,,
"ARTERY",,,,,,,,
"ARTICLE",,,,,,,,"Object"
"ARTICULATE#1",,,,,,,,
"ARTICULATE#2",,"Strong","Active",,,,,
"ARTIFICIAL",,,,,"Negativ",,,
"ARTIST",,,,"Role",,,,
"ARTISTIC",,,,,,,,
"AS#1",,,,,,,,
"AS#10",,,,,,,,
"AS#11",,,,,,,,
"AS#12",,,,,,,,
"AS#2",,,,,,,,
"AS#3",,,,,,,,
"AS#4",,,,,,,,
"AS#5",,,,,,,,
"AS#6",,,,,,,,
"AS#7",,,,,,,,
"AS#8",,,,,,,,
"AS#9",,,,,,,,
"AS#_10",,,,,,,,
"AS#_11",,,,,,,,
"AS#_12",,,,,,,,
"ASCEND",,"Strong","Active",,,,,
"ASCENDANCY",,,,,,,,
"ASCENDANT",,,,,,,,
"ASCENT",,"Strong","Active",,,,,
"ASCERTAIN",,,"Active",,,,,
"ASCERTAINMENT",,,"Active",,,,,
"ASCRIBE","Positiv",,"Active",,,,,
